"i18n_locale","msstore_language","product_name","seo_title"
"en","en-us","Off Work Countdown","Off Work Countdown - Work Time Management Tool"
"zh-CN","zh-hans","下班倒计时","下班倒计时 - 高效工作时间管理工具"
"zh-TW","zh-hant-tw","下班倒數計時器","下班倒數計時器 - 高效工作時間管理工具"
"zh-HK","zh-hant-hk","放工倒數計時器","放工倒數計時器 - 高效率嘅工作時間管理工具"
"ja","ja","退勤カウントダウン","退勤カウントダウン｜退勤まであと何時間？"
"ko","ko","퇴근 카운트다운","퇴근 카운트다운 · 퇴근시간 계산기"
"fr","fr","Compte à rebours de fin de travail","Compte à rebours avant la fin du travail"
"de","de","Feierabend-Countdown","Feierabend Countdown – Timer bis zum Feierabend"
"es","es","Cuenta regresiva del trabajo","Cuenta atrás para salir del trabajo"
"it","it","Conto alla rovescia del lavoro","Conto alla rovescia alla fine del lavoro"
"pt","pt","Contagem regressiva do trabalho","Contagem regressiva para o fim do trabalho"
"ru","ru","Обратный отсчет до конца работы","Обратный отсчёт до конца рабочего дня"
"hi-IN","hi","ऑफ वर्क काउंटडाउन","काम खत्म होने का काउंटडाउन"
"mr-IN","mr","ऑफ वर्क काउंटडाउन","काम संपण्याची उलटी गणना"
"tr","tr","İş Çıkışı Geri Sayımı","İş Çıkışına Geri Sayım"
"ar","ar","عداد تنازلي لنهاية العمل","عداد نهاية الدوام – الوقت المتبقي حتى الانصراف"
"th","th","นับถอยหลังเวลาหมดงาน","นับถอยหลังเวลาเลิกงาน"
"id","id","Hitung Mundur Waktu Kerja","Hitung Mundur Jam Pulang Kerja"
"vi","vi","Đếm ngược giờ tan ca","Đếm giờ tan ca – Còn bao lâu đến giờ tan làm?"
